9812601801979283;2013;Atual;Paraná;5G;Adsorção do azul reativo 5G em efluentes têxteis utilizando resíduos agroindustriais
8594325955153756;2013;2016;Distrito Federal;5G;Estudo e Implementação de Técnicas de Acesso e Alocação Oportunística das Faixas de Rádio Frequências
3140652045392909;2019;2022;Rio de Janeiro;5G;CAPES/FCT 88887.309016/2018-00 - Estudo e otimização de modelos de propagação para 5G
6358312955522220;2018;Atual;Rio Grande do Norte;5G;Concepção e Análise de desempenho de funcionalidades de camadas PHY e MAC para sistemas 5G
1870389730408675;2022;Atual;São Paulo;5G;Redes e serviços inteligentes rumo 2030 (SMARTNESS)
7146743799532788;2020;2022;Distrito Federal;5G;Inteligência Artificial Aplicada à Estimação do Canal e Otimização do Desempenho de Sistemas 5G Fiber/Wireless
7146743799532788;2018;2022;Distrito Federal;5G;Dispositivos de RF Baseados em Fotônica
7146743799532788;2016;2022;Distrito Federal;5G;Suporte ao Desenvolvimento do projeto: Redes Convergentes Ópticos-Wireless para Sistemas Celulares 5G e Internet do Futuro
7146743799532788;2015;2018;Distrito Federal;5G;Proposta de Redes Convergentes Óptico-Wireless para Sistemas Celulares 5G e Internet do Futuro
4932411097202754;2017;2021;Distrito Federal;5G;5G-RANGE Remote area Access Network for 5th Generation
6428800770934048;2021;Atual;Minas Gerais;5G;SFI2 - Slicing Future Internet Infrastructure
944963449027456;2023;Atual;Paraíba;5G;Conectividade 5G e EDGE Computing para Transformação Digital na Indústria 4.0 (EDGE5G)
944963449027456;2022;Atual;nan;5G;Segurança cibernética das redes de telecomunicações, especialmente nos sistemas de comunicações móveis de quinta geração (5G)
549389076806391;2021;Atual;Pará;5G;ESTUDO DE TÉCNICAS DE OTIMIZAÇÃO BIOINSPIRADAS PARA PROJETO E SÍNTESE DE FSS E ANTENAS PARA TERMINAIS DE COMUNICAÇÃO SEM FIO 5G
549389076806391;2014;2015;Pará;5G;Proposta de Modelos de Rádio Propagação para Sistemas Fixos e Móveis na Região Amazônica Baseado em Medições
7234583758071194;2017;Atual;Pernambuco;5G;Frequência alélica das mutações responsáveis pela Nefropatia Familiar (FN, c.115A>T no gene COL4A4) e pela Atrofia Retiniana Progressiva (PRA-PRCD, c.5G>A no gene PRCD) em cães da raça Cocker Spaniel Inglês
7916375574050821;2023;Atual;São Paulo;5G;Utilização de estruturas algébricas em construções de bons códigos e reticulados para sistemas de comunicação ópticas e móveis
7916375574050821;2020;2022;São Paulo;5G;Aplicações de Códigos e Reticulados em Sistemas de Telecomunicações  (Projeto Trienal UNESP: 2020-2022)
1101383196957378;2023;Atual;Paraíba;5G;Arcabouço de Soluções Abertas para Gerência de Recursos, Conectividade e Segurança em Redes 5G Privadas para o Ambiente Industrial
539500854426508;2014;2020;Paraná;5G;MassiveMIMO - MIMO Denso para Sistemas de Comunicação sem Fio de Quinta Geração: Desafios e Oportunidades (Massive MIMO for 5G Wireless Systems: Challenges and Opportunities)
7710354723027448;2022;Atual;Rio Grande do Norte;5G;Open RAN: como a geopolítica e os interesses econômicos se manifestam tecnicamente
7399179037419892;2020;2021;Ceará;5G;PIBIC 2020/2021: Estudo do conceito de comunicações cell-free em sistemas 5G utilizando MIMO massivo
7399179037419892;2019;2021;Ceará;5G;CNPq DT: Otimização de comunicações veiculares em sistemas MIMO de quinta geração
